benchmark,method,task_success_rate_mean,mean_peak_tokens_mean,context_dependency_mean,compression_efficiency_mean
AppWorld,no_compression,0.080,2329.9,2329.9,0.0343
AppWorld,fifo,0.093,503.7,331.1,0.2818
AppWorld,token_perplexity,0.067,471.7,384.3,0.1735
AppWorld,retrieval,0.133,1588.3,1425.6,0.0935
AppWorld,acon,0.093,952.6,906.0,0.1030
AppWorld,ccp,0.107,546.2,330.8,0.3224
MultiObjQA,no_compression,0.520,90.1,90.1,5.7718
MultiObjQA,fifo,0.107,39.0,30.1,3.5414
MultiObjQA,token_perplexity,0.160,37.0,29.3,5.4570
MultiObjQA,retrieval,0.400,74.1,74.1,5.3996
MultiObjQA,acon,0.093,82.2,82.2,1.1351
MultiObjQA,ccp,0.467,83.8,83.8,5.5697
OfficeBench,no_compression,0.413,296.2,296.2,1.3955
OfficeBench,fifo,0.413,157.5,64.0,6.4597
OfficeBench,token_perplexity,0.413,45.4,37.7,10.9773
OfficeBench,retrieval,0.413,249.7,249.1,1.6591
OfficeBench,acon,0.307,222.5,210.6,1.4559
OfficeBench,ccp,0.413,149.2,55.8,7.4039
